country,cntry_code,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Russia,RUS,5855.0,911.0,63075.0,714.0,-185.0,925.0,587.0,142.0
Rwanda,RWA,3333.0,665.0,59225.0,911.0,25.0,159.0,715.0,285.0
Saudi Arabia,SAU,6474.0,0.89,63.4,774.0,-134.0,,725.0,266.0
Senegal,SEN,4595.0,839.0,58.5,744.0,-89.0,794.0,781.0,245.0
Serbia,SRB,5753.0,895.0,66525.0,614.0,-72.0,0.89,492.0,298.0
Sierra Leone,SLE,4733.0,657.0,50.5,681.0,107.0,863.0,616.0,456.0
Singapore,SGP,6033.0,925.0,73.3,904.0,138.0,47.0,745.0,111.0
Slovakia,SVK,5993.0,945.0,67825.0,0.7,-63.0,917.0,688.0,232.0
Slovenia,SVN,5937.0,934.0,70175.0,904.0,-58.0,838.0,597.0,272.0
Somalia,SOM,4668.0,594.0,48.5,917.0,73.0,441.0,773.0,193.0
South Africa,ZAF,4.77,875.0,54625.0,774.0,-0.08,813.0,743.0,301.0
South Korea,KOR,5971.0,811.0,72275.0,591.0,22.0,862.0,583.0,233.0
South Sudan,SSD,2888.0,532.0,53175.0,0.44,,785.0,594.0,549.0
Spain,ESP,6319.0,942.0,71725.0,768.0,-52.0,819.0,0.63,301.0
State of Palestine,PSE,4907.0,818.0,,608.0,-149.0,812.0,544.0,378.0
Sweden,SWE,7369.0,912.0,71525.0,918.0,142.0,246.0,752.0,201.0
Switzerland,CHE,7459.0,928.0,71.9,934.0,81.0,302.0,758.0,206.0
Taiwan Province of China,TWN,6513.0,895.0,,719.0,-47.0,811.0,743.0,108.0
Tajikistan,TJK,5104.0,857.0,61.55,703.0,4.0,632.0,587.0,0.22
Tanzania,TZA,2903.0,638.0,57.15,775.0,179.0,739.0,649.0,246.0
Thailand,THA,6074.0,908.0,68075.0,924.0,354.0,878.0,811.0,218.0
Togo,TGO,3879.0,509.0,54.7,0.73,-27.0,815.0,0.61,483.0
Tunisia,TUN,4521.0,702.0,66.75,614.0,-169.0,811.0,532.0,378.0
Turkiye,TUR,5326.0,0.88,67875.0,644.0,-68.0,764.0,414.0,0.39
Turkmenistan,TKM,5887.0,929.0,61.8,749.0,4.0,,0.56,255.0
Uganda,UGA,4233.0,754.0,56775.0,739.0,128.0,811.0,665.0,0.41
Ukraine,UKR,4029.0,885.0,63925.0,503.0,7.0,891.0,0.55,0.22
United Arab Emirates,ARE,6831.0,849.0,65.55,949.0,122.0,,739.0,245.0
United Kingdom,GBR,6824.0,954.0,69.8,821.0,246.0,458.0,732.0,0.23
United States,USA,6804.0,897.0,66475.0,758.0,0.14,739.0,737.0,264.0
Uruguay,URY,6171.0,0.9,67.5,886.0,-82.0,676.0,735.0,283.0
Uzbekistan,UZB,5893.0,945.0,63.8,984.0,202.0,,771.0,147.0
Venezuela,VEN,4041.0,902.0,64925.0,458.0,-56.0,0.89,676.0,392.0
Vietnam,VNM,5062.0,876.0,65.0,894.0,-109.0,799.0,487.0,223.0
Yemen,YEM,3826.0,775.0,58175.0,533.0,-141.0,,401.0,228.0
Zambia,ZMB,4348.0,767.0,53125.0,812.0,122.0,771.0,688.0,372.0
Zimbabwe,ZWE,3735.0,768.0,51675.0,733.0,-79.0,724.0,685.0,209.0
