Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",country,happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Central African Republic,CAF,11.5,94.20741236645225,10.0,69.036,709.853481245446,2.5,1560.515345183801,2.4874867776006653,622980.0,53100940.0,127504682.0,2.83390827023391,-112382.0,47.5892201888714,50.5153670963349,,95.1,2051.7096702136,39.3042963482777,78.9416720643146,,,,,,,,,
Canada,CAN,100.0,23.75396866515317,10.0,61.788,44301.05625291326,85.8,99544.02818030283,1.7407379314567777,8965590.0,458027938644.0,485821021908.0,1.00236720047397,239813.0,16.2714380359575,68.4998731704546,24.6753246753247,22.2,70942.00496715256,81.183439957458,10.5840958560203,Canada,7594.0,936.0,70.98,916.0,312.0,406.0,801.0,263.0
Central Europe and the Baltics,CEB,99.30847738413055,21.79963103106313,10.0,49.690138560856695,23498.58716788909,,24937.22642465032,1.132797187850727,1105114.0,763990063776.0,765231512934.9999,1.3747222139515234,-53400.0,15.013818343407324,68.87189684978114,19.21020156314273,16.661211402468485,26940.24027711221,61.96170310951552,17.33457243193239,,,,,,,,,
Switzerland,CHE,100.0,22.06662133109839,11.0,64.393,61656.46617085157,86.34,174705.39719651226,-0.0868425914429025,39511.428,357764923725.0,321088539248.0,0.712636242390875,83823.0,14.9102444853064,67.569206651867,31.0,21.8,143131.38823580998,74.1121384785551,11.27837848567475,,,,,,,,,
Channel Islands,CHI,100.0,22.936156244871164,,54.251,,,,2.0381662432797043,198.0,,,,696.0,15.5494429076973,67.7931109085009,,,,32.5432251775809,4.568228706159743,,,,,,,,,
Chile,CHL,99.6,29.74827694956012,12.0,57.88,22201.066068433745,58.0,34083.89028639694,2.260770609223542,743532.0,75909450133.0,76501467327.0,1.99462247217943,36529.0,20.4792936554866,68.8419518588406,15.8333333333333,30.2,24143.09632599005,87.1827777654221,19.19543192166341,Chile,6.74,862.0,69.04,737.0,79.0,741.0,791.0,285.0
China,CHN,100.0,25.305257220474235,9.0,66.751,12228.373608419706,45.8,17787.21304404691,2.297993974019448,9388211.0,2207941404351.0,1770644245598.0,1.7143409229625002,-188951.0,18.3054006638332,72.3383307205597,23.40140609307,11.5,17324.004950102873,54.4900016784668,38.4984455583427,China,5241.0,778.0,67.48,805.0,-161.0,,717.0,142.0
Cote d'Ivoire,CIV,61.5,76.19453120894374,10.0,64.302,3619.017908548649,6.6,7803.70467103091,2.876730428525164,318000.0,13627594165.0,12699243350.0,0.995019119922897,-250964.0,42.1525339700867,55.3222585566853,10.4417670682731,72.2,6844.167445077412,48.5702332186208,75.8313713974169,Ivory Coast,3739.0,709.0,51.3,739.0,-32.0,691.0,661.0,306.0
Cameroon,CMR,56.3,81.29747983801482,6.0,70.475,3238.8682984373254,10.0,6448.998464977736,3.053459169250374,472710.0,4386026252.0,6847409186.0,1.1650411430349898,-6900.0,43.5350939540544,53.5503581471515,31.1111111111111,77.7,4627.347967840862,51.9475591877024,75.26255747168949,Cameroon,4271.0,0.76,50.92,794.0,-36.0,867.0,0.64,268.0
"Congo, Dem. Rep.",COD,15.2,90.28284802794175,6.0,62.839,760.6498799396196,2.2,5956.577087154647,5.967494525185273,2267050.0,4859627942.0,9955917908.0,1.07353188499408,121097.0,45.9560232668436,50.9022746520143,8.94308943089431,93.9,1948.0727758509645,40.5675263197158,80.7675097625104,Congo (Kinshasa),4497.0,0.83,51.4,0.48,13.0,913.0,556.0,187.0
