Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,stability,n_transitions
MDV,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0.5,10
MEX,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0.8333333333333334,6
MKD,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0.7777777777777778,7
MLI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
MLT,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
MMR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9444444444444444,3
MNE,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0.8333333333333334,5
MNG,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0.5555555555555556,12
MOZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
MRT,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
MUS,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,7
MWI,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
MYS,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0.8888888888888888,5
NAM,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,5
NER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
NGA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,3
NIC,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0.7222222222222222,7
NLD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
NOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
NPL,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.8333333333333334,7
NZL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
OMN,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
PAK,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
PAN,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,5
PER,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,7
PHL,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0.5555555555555556,13
POL,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,3
PRT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
PRY,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0.6666666666666666,9
PSE,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0.6111111111111112,8
QAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
ROU,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.8333333333333334,4
RUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
RWA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SAU,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.8888888888888888,3
SDN,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SEN,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,5
SGP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0
