Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,cluster
Belize,BLZ,0.3036968025292265,-0.5973652273153677,0.0427414640599255,-0.3627891815590903,-0.1118624174244071,-0.3243442423694753,-0.4230924766815792,-0.3823847289444011,-0.4150382309778363,-0.652420857094505,0.0171583088108168,-0.4573804855780885,-1.701740159139394,-0.3018234442296211,-0.5365062828427778,-0.3376257183651235,0.6583803577949717,0.2610359231117512,-0.1108703417111406,0.5651584844835199,0.008118199439346,0.2964442608342005,0.7126376918223016,0.2953119857831952,1
Bolivia,BOL,0.3005308663043436,2.4613949418701253,0.8829884179729697,-0.5567380821111869,-0.4961046014473619,-0.6601692732144813,-0.4195076467743076,0.1551227156005261,-0.3859719437799315,-0.1430007501283267,-0.0745951834197141,-0.4624128531693926,0.3560143681522573,-0.4488466188493762,0.3748858275710662,0.94980090072413,0.5889503240732694,0.3336509570248963,-0.1113038422552536,0.5159438831284604,-0.2526711750529616,0.2493574293399905,0.7578401555200541,1.2885945819436393,1
Brazil,BRA,0.683609149515136,-0.5973652273153677,0.4204409546411137,-0.1709994576156775,0.3322328760328925,-0.42754388390069,0.340859806671227,3.842362253807599,0.4161192324810563,-0.2961049627099287,-1.2788604956251852,0.705319163974017,-0.8925807866411645,0.4757657904259729,1.1784537556346983,-0.4484942686618845,1.1295647176135677,0.6945517525051953,-0.1109955670014006,0.4597022882535226,-0.3846368770766631,0.0986971341506538,0.7684752972836265,0.3659239327229123,1
Bhutan,BTN,-0.1838573761026907,-0.0875718657844521,0.9150794334093598,-0.5335916410207459,-0.8518980853070787,-0.1110902171767447,0.1151423592259115,-0.3746264035913575,-0.4137060884267431,-0.3022913727253701,-0.0062872867138446,0.2343660545621535,-0.9166834062474944,1.7466994554723012,-1.074802923549195,1.1660914350020573,-0.0042483055987085,0.2808318694142543,-0.1111772447074041,-3.131182942741276,1.7142493188460464,-0.2365231399011895,0.6568076629679148,0.723697632743122,1
Botswana,BWA,-1.0734854552946953,-0.0875718657844521,-0.2940461822345546,-0.2602521362969497,-0.889583376432407,0.084830746370181,0.9498372651437385,-0.1066998575765646,-0.3969467489148788,0.8890766749001036,0.0301339024659232,-0.1110173894558808,-0.9696435840219476,-0.1776705412173834,0.2315092654433581,-0.39043189819461,-0.9076363561301992,0.2676295246953074,-0.1125617225236954,0.6987311123374567,-1.2455542531557524,0.3585883758080725,0.3058521098159658,0.0928897739015146,1
Central African Republic,CAF,-2.149903771754772,0.4222214957464633,1.0554566239701175,-0.8262404318074693,-1.0503000591727774,-0.7507552876595374,-0.1748743670605479,-0.0781896464895651,-0.4160513987788307,-0.1522048134322243,-0.1667032953693139,-1.4677151041429295,-0.8147770008240263,1.9459975366235247,-0.8466355116993011,1.5157157214568493,-0.9531293038576844,-1.6204942240020157,-0.1138718841334025,-0.2105095570307714,0.2123510875991615,0.5167773139465577,-0.2578151839304247,0.3941706047221167,1
Canada,CAN,0.7184344479888441,0.4222214957464633,0.4402668175808734,1.1628208658247314,1.849989502923564,1.450952821155121,-0.4120884546926877,4.150247191137339,1.3749682688670064,-0.4068217046212898,1.4224697479762105,0.8498744000885308,0.3348194043691397,-0.3965717123179078,1.0358476955389604,-1.0143647570179328,1.4173015587656168,0.8265886289004267,-0.1100322068331101,1.1533486250444211,1.5005874375476445,-1.0689201535667054,1.0290362704911509,0.1211337604806785,1
Switzerland,CHE,0.7184344479888441,0.9320148572773788,0.7915878295049235,1.9030108255342564,1.8869358667719247,3.086425025315225,-0.1947233462341353,-0.3739184258652884,0.5607988019634028,-0.8507074245077433,0.4043100270256328,0.673753894536522,0.9733407263397538,-0.468449708798677,0.712270701168463,-1.0014764401320493,1.4391624686683393,0.8045824828345548,-0.1099496331043995,1.0408654352945457,0.7276454685516783,-1.336342177527778,0.7525225846382679,-0.311956544255581,1
Chile,CHL,0.7057707030893137,1.4418082188082944,-0.3615045209660255,-0.0369162418790798,0.4186873674380574,0.1183363732070405,0.0490294046658873,-0.0170880826324989,-0.1052954045936463,0.2111024181655269,0.1427053162371962,0.6890038473622064,-0.3949477725547498,-0.092723818103747,1.304714430446517,-0.6731062511275999,0.8300111684059925,0.3380521862380706,-0.1103652542055762,0.3659662967952931,0.878463413721623,0.1401287153277214,0.832286147865061,-2.2109633804578324,1
China,CHN,0.6899410219649007,-0.0875718657844521,0.998163240389964,-0.4298141480513338,-0.0490535988821934,-0.4733296838094154,-0.236869711316985,4.364451883044874,6.38223120446047,-0.0521541798388491,-1.0284640933345288,1.3188851402047044,0.2654354455501406,-0.6840836982409847,-0.4084652994967661,0.111530089739819,-0.3752930532576227,0.1884103929901417,-0.1106239852222028,0.4784494865451685,-1.0444653871951708,0.3256276967232567,-3.184234666274516,-0.6885568092436329,1
Cote d'Ivoire,CIV,-0.6334203200360169,0.4222214957464633,0.536455855996234,-0.705837947208148,-1.0429107864031053,-0.6112367217873865,-0.1361152602693803,-0.2327682096417984,-0.3600044922958028,-0.4933081148525624,-0.9755152998709492,-1.3996384031188844,-0.8838115717667987,1.286026841663735,-0.477033098520673,1.516318741519539,-0.5271377517711272,-0.3881506339357018,-0.1130378905581766,-3.131511016494167,-0.975340495658946,0.7729019551229356,-0.2365455993739668,-0.4625966502508018,1
Cameroon,CMR,-0.8107127486294411,-1.6169519503771983,1.6135210625668333,-0.7214254210857927,-0.974929476922121,-0.624117355696977,0.0510386517204433,-0.1543537250681148,-0.4066425346386406,-0.5056133191396894,-0.0580152581937448,-1.356396481318921,-0.4205711526838624,1.465721832865658,-0.3138711057574486,1.4744707325055997,-0.2057232926608298,-0.1152744227188903,-0.1130021086090686,0.1363131177226307,-0.1709781214192416,0.8595316248568041,-0.0397954767478771,-2.211434130789068,1
"Congo, Dem. Rep.",COD,-2.058091621233177,-1.6169519503771983,0.8575340261477685,-0.8421741245325238,-1.0961135503447452,-0.7059528743388874,1.1673617598943884,0.7551042689202725,-0.3888217997368364,-0.9058199983082316,-0.266171219849095,-1.6824248168020484,-0.926889144035089,2.0472801680282453,-0.8235570758669546,1.593760758588749,-0.6529856925624753,-0.0976695058661928,-0.1129690791175844,-0.5292124216307988,-0.1521258782729985,0.479114379503729,-0.5981404193354289,0.4506589923452239,1
"Congo, Rep.",COG,-1.2729394374622975,0.4222214957464633,-0.145604233867793,-0.6207863162197643,-0.9505448767822028,-0.4158888422972727,-1.883885879881672,-0.2208572770098964,-0.3723500545203039,-0.3022913727253701,0.5013363075380551,-0.8845135696471168,-1.0284250608561956,0.7044685065011477,0.2078370927982363,1.423005458324751,-0.5732276432242774,-0.586207137253206,-0.1121227069391253,0.2675520301556762,-0.6737053065885672,0.1608452935209639,-0.1355089798036506,0.6483755881308919,1
Colombia,COL,0.5949629352184234,0.4222214957464633,0.2375557698112102,-0.3293103501659936,-0.0084125986489962,-0.3722643236491259,0.0870291514572151,0.1684021383646042,-0.2328714093439494,1.3181017645536743,-0.2713568065607235,0.4247532874902494,-0.9237772925688064,-0.0959909997619639,0.8465103491524317,0.2625380370351969,0.6988457089896579,0.575718563749487,-0.1105496688663633,0.4128342925244079,-0.3846368770766631,0.5280789754402634,0.9918132743186472,0.3565089260982109,1
Comoros,COM,-0.5447741057393046,-1.6169519503771983,-1.2583727953087225,-0.7515343436937112,-0.9874912406305636,-0.7248900096400013,-0.153426755206501,-0.3930026918254954,-0.4164444503121816,-0.3022913727253701,-0.0193558953772314,-1.3132278239066513,-1.701740159139394,1.1161333954364625,-1.2843548312365003,0.8757452082905093,-0.9531300771728264,-0.5553973440363282,-0.1119561747120675,-0.7541788011305497,-0.5166025791003647,0.5318454828199969,0.1410019332328539,-0.6414817761201265,1
Costa Rica,CRI,0.6994388306395488,0.9320148572773788,-0.0247168746715453,-0.2294796631981589,0.1515651568144069,-0.1182573669727773,0.5273975339125033,-0.3680662673762635,-0.3670076383177293,-0.3022913727253701,0.0212509691751514,0.5859851635983995,1.6967292053531715,0.2078568944521969,0.5597321315940942,-0.5094675430188295,1.4923376549182046,-3.319809412831156,-0.1102661657311235,1.0174314374299884,0.3506006056268168,0.3397536064535926,-3.183330679224612,-0.1707314448850616,-1
