Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,0.379877815558692,0.5937726463727019,-0.41299392441651916,-1.5524502873393091,-0.6635280165315729,-0.6744782872041685,-0.5166142986111125,-0.12566665888053835,7.399714494577264e-17,-0.16408440618287148,-0.13028834885568713,0.35372774576120086,-0.43595848581968794,0.729119002136651,-0.3971752338133151,-0.7758608857731332,-0.5133408780572286,-0.42315957198865173,0.23496574665947376
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,0.38116720557174605,0.5977542550097035,-0.41299392441651916,-1.5524502873393098,-0.6648433321570928,-0.6653824055063203,-0.5166142986111125,-0.1637208786924949,7.399714494577264e-17,-0.16347063942123877,-0.12763204165488215,0.35372774576120103,-0.4644036317859582,0.7325916537892793,-0.40178927842575884,-0.7758608857731335,-0.5133408780572285,-0.4120085894215741,0.23496574665947376
Middle income,MIC,0.3383635002811764,-0.214724872158866,0.015816788594675592,0.06369186004865648,-0.4712596818847435,0.0,-0.4020955727385897,-0.11263838214582163,7.399714494577264e-17,2.786859514252197,2.593510157423989,-0.1367030893260066,-5.5377699822166955,-0.08953736444288693,0.4165846030270655,-0.002965254242217804,-0.36888926692059454,-0.31358279549903834,0.5030975083912604
Moldova,MDA,0.56185732034268,-0.5611309889268983,0.015816788594675592,1.2084576802404585,-0.41526172449757826,0.44034026132921344,-0.6078987059525158,-0.046568930443237344,-0.362704840658149,-0.30786497829675363,-0.3045320426593489,-0.644963401944373,0.09807875971332819,-0.6034217801748699,0.09992963231513259,1.206493165582162,-0.6005262560639648,-0.8395958357039927,0.9118171582457104
Monaco,MCO,0.56185732034268,-0.8059753634803268,0.4446275016058704,0.0,-1.320219258838566e-16,1.3015883678308295,0.0,-0.12557728131450221,-0.3836348328170547,-4.9246282766049297e-17,-4.8523628408910723e-17,0.0,0.11931133826344308,-1.2791498287416114,-2.3361826015801457,1.8682277880076272,0.0,1.7470553566191762,0.0
Mongolia,MNG,0.56185732034268,0.49004640957111806,0.8734382146170652,0.04522267984316533,-0.4059021699800309,0.5678463309696512,-0.5071646482252153,0.18373191127164432,0.6069940512742589,-0.3033550449344886,-0.30429302618106097,-0.6567003771602562,0.11921119532677193,0.6506835534717834,-0.2313440948738341,-0.7649784644168409,-0.5761686218185413,0.4058919669903252,0.1002037733673019
Montenegro,MNE,0.56185732034268,-0.6848461692905082,-0.41299392441651916,-0.6160325734680714,0.10922774053692333,0.8766060352031121,-0.46598544988691,-0.002256346834421918,-0.3750869254294866,-0.30921250088201097,-0.3063540328600585,-0.24818964753896397,0.1328670503273818,-0.7680018555623506,0.06635949765354743,-0.40911966072475087,-0.3724117097980571,0.18020049249950967,-0.9289503423950859
Morocco,MAR,0.56185732034268,-0.1482210199280597,-0.41299392441651916,-1.6419142749525424,-0.7002206329797847,0.930944832466058,-0.5288215319206916,-0.08761243906858177,-0.09995420503557154,-0.2926910373585533,-0.28000414946271635,0.619681515556818,0.07408997442892354,-0.004103626563862476,0.4052928258762148,-0.1051629794630159,-0.500370052232613,0.053160794812100495,-0.03251260244102162
Mozambique,MOZ,-2.3922765036625386,2.1314025589293895,0.0,1.5855002458295413,-0.9983879455851958,-2.305215245639507,-0.7074170791791259,-0.12377428254485383,0.11621106134207111,-0.30616968407944595,-0.30396528764825387,-0.07683212637408204,0.07792954565992835,1.8524383802519617,-1.983878894544734,1.6268572484724166,-0.8841234949673775,-1.1702495182451391,1.9887372697895767
Myanmar,MMR,-0.5090161908592119,-0.32297601097797046,-2.128236776461298,-0.3557791123218123,-0.8432498052395544,-0.5455123285512264,-0.6611683314744742,-0.018731906004580176,0.031220889125667332,-0.30356864770811326,-0.3014408858871533,0.6870905108796069,0.07939413610874375,-0.15479884339619696,0.7998644922018778,0.0,-0.8834666553198037,-1.412261012444677,1.0944417980015106
