Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Niger,NER,19.5,94.42176466457104,,79.291,1839.969096759033,23.2982,2831.89200646281,4.018999979447429,1266700.0,424295902.0,3778184540.0,1.5729764923811,995.0,47.3266584157624,50.1226158861658,25.9036144578313,,2868.011055748215,17.477207007512,84.36410378992889,4501.0,587.0,56.55,793.0,32.0,0.74,787.0,366.0
Nigeria,NGA,60.5,76.22223922613365,9.0,78.158,8304.958105035297,37.6975,4373.620256795488,8.04664948506526,910770.0,84352289505.0,62826472664.0,0.650166691789414,-51680.0,41.9524339305195,55.0396238495041,3.61111111111111,,6089.011854661296,61.3727650622225,67.2492936811999,,,,,,,,
Nicaragua,NIC,86.5,45.53103219155483,7.0,62.379,7796.693620341443,49.1307,7796.839888950567,8.385326186169777,120340.0,3806795882.0,7834301147.0,0.5371139682093651,-7996.0,29.6469354721648,65.1136995835546,51.6483516483517,,4436.027613549971,58.9954376220703,39.61545336729675,6392.0,844.0,65725.0,914.0,-1.0,0.57,787.0,339.0
Netherlands,NLD,100.0,23.708936982886808,13.0,64.858,78630.35990720983,92.5197,121649.96530516088,6.155574965083275,33670.0,938167519509.0,890670059905.0,1.30419995572639,224472.0,15.3509962706976,64.74772068865,40.6666666666667,,79124.37638101297,94.9856177734136,13.38573697607422,7.39,929.0,71625.0,868.0,224.0,459.0,711.0,198.0
Norway,NOR,100.0,25.8711410768284,10.0,63.833,125489.54893560216,99.0,243081.13348622527,28.416785192293247,364270.0,277038738259.0,106959430564.0,1.46436961628818,58040.0,16.7861521076037,64.8837143883647,44.9704142011834,,107829.59620295747,82.9563661816034,4.2597982916232695,7295.0,927.0,71.55,939.0,185.0,314.0,759.0,211.0
Nepal,NPL,91.3,44.61132738448397,9.0,35.224,5102.992311329473,53.8878,2128.8651238839047,8.241191955025485,143350.0,1300568289.0,13717955793.0,1.15743842490309,-379321.0,28.9372432563332,64.8652370438044,33.0909090909091,,4947.202604128991,66.2992968721053,77.7965803186827,5474.0,753.0,62125.0,844.0,153.0,0.76,473.0,342.0
New Zealand,NZL,100.0,28.71556751716281,10.0,68.589,54033.91301256506,96.1942,71236.3955195047,5.89146876133546,263310.0,45538872925.0,54658043639.0,1.17089864666233,21404.0,18.6402472692225,64.9133640877173,50.4201680672269,,72062.99583195431,83.8547305017812,13.244964891475805,6975.0,956.0,70425.0,831.0,187.0,281.0,706.0,0.21
Oman,OMN,100.0,36.86765281141616,10.0,65.999,42616.33489558685,95.2453,50375.883032671794,16.49632499935487,309500.0,23022648256.0,38623129493.0,5.2647590817834,339063.0,26.2208613288245,71.1215912305247,2.32558139534884,,35558.55894908638,80.0117053152301,3.75362846120249,,,,,,,,
Pakistan,PAK,95.0,63.69189552995748,12.0,49.633,5920.274306541074,24.2103,4041.85254550662,13.93701123929381,770880.0,30811428705.0,69675494554.0,3.17683202352522,-1322625.0,37.3097827836474,58.5785401235689,20.4678362573099,,7585.846131106113,38.3740439760816,56.02581603830789,,,,,,,,
Panama,PAN,95.0,39.152839142303,11.0,60.953,36333.12691843586,77.7041,47699.99326175458,2.195907970539721,74180.0,3583365629.0,11176297666.0,,7967.0,25.6700356960016,65.5636634745759,22.5352112676056,,36059.67364112953,65.8211343914956,42.12077669026429,5979.0,891.0,69.0,899.0,-121.0,887.0,821.0,259.0
Peru,PER,96.2,37.283300358714506,14.0,71.277,16669.156148676902,74.675,21765.571214466723,4.513394137303877,1280000.0,57897579573.0,72339159777.0,1.135133506685,33982.0,24.765130780365,66.4241898791586,40.0,,11829.639520565834,84.3663554951194,49.66372998841089,5892.0,823.0,70025.0,764.0,-178.0,884.0,755.0,378.0
Philippines,PHL,94.8,44.693050319655896,13.0,59.843,10131.34636979404,75.2111,13829.7411279873,5.488648202020087,298170.0,80723647127.0,142936298720.0,1.31630135538263,-221754.0,29.3310099808108,65.6276748361945,27.3311897106109,,8810.707790634959,54.7902343568327,34.517406154731674,,,,,,,,
Poland,POL,100.0,23.33909398910915,9.0,57.289,46777.55245191616,86.9411,32626.17025133616,10.689577427514024,306090.0,357961645745.0,379375625410.0,2.20458906428882,967744.0,15.3237547413116,65.6570295546479,28.2608695652174,,34623.381377144695,59.8315488048321,17.7973099008004,6666.0,886.0,69225.0,0.8,-207.0,667.0,594.0,0.14
