Country Name,Country Code,Access to electricity (% of population),"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Merchandise imports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Moldova,MDA,100.0,31.04713510699198,10.0,69.675,17746.94055386838,80.2126,8993.269759357263,9.277824171798828,32930.0,4030030967.0,8664036187.0,0.570612660188445,-18570.0,19.9922238488199,64.3930689550613,38.6138613861386,10714.351923519924,43.0011825561523,58.49456969616154
Monaco,MCO,100.0,26.115265272903,11.0,,,99.1497,,4.992518878138313,2.084,,,,88.0,13.1788019970993,50.4639790535597,45.8333333333333,,100.0,
Mongolia,MNG,100.0,52.22087091931802,12.0,57.683,18004.85120583547,83.0162,13344.389228022605,21.769028016102723,1558499.7859999998,15209128027.0,9265327087.0,0.542565742478439,0.0,32.6374717451465,62.498927353612,17.1052631578947,11367.085733445178,70.4464492797852,39.29355055933751
Montenegro,MNE,100.0,28.555155590750235,9.0,50.866,32199.70319586301,89.8052,15123.088663310744,11.681278325955772,13450.0,689829558.0,4080477198.0,1.51875139564723,12000.0,18.3327493244438,64.2011231911508,20.9876543209877,16827.34612415716,65.4731667624849,14.94598774227619
Morocco,MAR,100.0,39.36432934114259,9.0,40.29,9894.650390625,91.0,12408.939089271076,7.051680190269934,446300.0,41642772643.0,70368564180.0,3.59263420161027,-39650.0,26.0351984043489,66.1390605052621,24.3037974683544,13398.329351531918,62.673750838878,36.15376785103814
Mozambique,MOZ,36.0,85.28250402720906,,73.562,1678.391182436808,19.8434,4694.660718823664,5.090311074619251,786380.0,8232279000.0,10089815000.0,1.92823085749343,-36276.0,44.7548651470663,52.47836490149,43.2,3114.537246588073,35.7149783148407,83.9721727715252
Myanmar,MMR,76.8,35.84426125590475,5.0,53.549,5953.357351659129,58.5357,6692.3349025030975,10.787666446333889,652670.0,14679655428.0,16440422363.000002,3.75371612518577,-34989.0,24.5157260581987,68.3951241366357,,3132.139179573472,30.3820718069466,62.815074099045496
Namibia,NAM,56.7,63.06142143538301,7.0,47.617,11251.237031381876,64.4061,22103.667534429616,6.598878225111605,823290.0,5677553736.0,7186702059.0,2.74670698895234,11675.0,37.2923244107934,59.1364941049815,44.2307692307692,12560.109518767882,49.9545837830821,30.4900323026183
Nauru,NRU,100.0,64.55930514025346,14.0,,13731.57047450158,,,6.398809523809447,20.0,211741567.0,71294029.0,,-148.0,38.1810526315789,59.1410526315789,10.5263157894737,,100.0,
Nepal,NPL,94.0,44.22530795855755,9.0,35.269,5395.208200775129,55.7716,2132.3690700853144,5.749028593351312,143350.0,1207636035.0,12041375757.0,1.07154635588773,-409782.0,28.7136275165317,64.925784774879,33.0882352941176,5021.1706763294405,66.5432933453944,77.5335496980225
