Country Name,Country Code,"Age dependency ratio, young (% of working-age population)","Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),Net migration,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),"Services, value added per worker (constant 2015 US$)",Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
Slovenia,SVN,23.16843920454125,,55.809,57186.37135381743,90.7636,51533.63762852766,3.467080597243921,1.3100111648678798,3319.0,14.714920235154,63.5127305869434,37.7777777777778,47483.713542094825,55.7577708405917,10.76727494134424
Small states,SST,37.085164588415566,,55.26184754839959,28639.983567456977,72.5,46578.72696705736,3.304057878080343,1.6856963797468614,-23610.0,24.45483497672473,65.94235097700994,21.65397170837868,28844.424386723626,51.92759482407245,27.972949982711334
Solomon Islands,SLB,62.24924362009997,,83.059,2674.893113398307,,9233.165010703438,3.0735150448994943,,1610.0,36.9703661385892,59.3908310323023,6.0,3613.679507772774,30.6617188562194,68.7991269939351
"Somalia, Fed. Rep.",SOM,91.69155658113978,,27.477,1601.9646660233948,,,8.333981192433711,1.5857805012176902,26859.0,46.5932329118749,50.8151836975781,19.6363636363636,,54.6176465524521,46.041100924009
South Africa,ZAF,38.388569773231126,9.0,37.632,15456.19899336581,,19675.492790499386,3.916921002951028,0.700150834276412,166972.0,25.8837591619497,67.4256928946564,44.702842377261,18846.381551667968,63.6917984858172,11.69648855129444
South Asia,SAS,36.840383691654296,8.5,53.26846610326812,10973.710171580453,62.8,6389.095267772569,3.460652341032926,2.107328834226273,-1535417.0,25.002131257823606,67.86609921869096,16.26916524701872,8811.212588405671,35.46285872430804,70.19500007115768
South Asia (IDA & IBRD),TSA,36.840383691654296,8.5,53.26846610326812,10973.710171580447,62.8,6389.095267772569,3.460652341032926,2.1073288342262724,-1535417.0,25.002131257823603,67.86609921869096,16.26916524701872,8811.212588405675,35.46285872430804,70.1950000711577
South Sudan,SSD,66.99413723899644,8.0,,,,,,1.9617070809135,15374.0,38.917470670119,58.0908540472345,32.3636363636364,,21.3768190444906,
Spain,ESP,19.59835147268736,10.0,51.249,57965.29481388373,95.7575,59835.9845581644,2.892364779652865,1.43210737406914,111674.0,12.9217448695747,65.9328112372132,44.2857142857143,60856.57139614008,80.315199821207,10.259326930839013
Sri Lanka,LKA,33.44724745712599,11.0,46.54,15632.592484984809,,11827.283307918146,3.8390306898809,1.42539087177796,-27245.0,22.0302867118189,65.8657736558357,10.0,14339.014045562924,20.2996997058686,39.34513011074369
St. Kitts and Nevis,KNA,25.76820711347689,12.0,,34846.603534282825,,,5.990947205538518,,-7.0,18.1894840210917,70.5847191682855,31.25,,31.795061903951,
St. Lucia,LCA,24.074173075601244,,61.271,27567.328077983904,,18388.160038780803,0.9632775378152444,,-7.0,17.5369345762156,72.8463059860301,11.1111111111111,21688.89676282302,29.0973354237452,22.10158890956544
St. Martin (French part),MAF,35.40806605271515,,,,,,,,-1424.0,21.3364460943779,60.2568027861763,,,100.0,
St. Vincent and the Grenadines,VCT,31.86422525993247,,55.727,21272.080067366205,,16047.830731191603,3.711978906093023,,-737.0,21.2913453128727,66.8174047865151,21.7391304347826,20278.80316044726,47.8487050456749,22.176651862594003
Sub-Saharan Africa,SSF,72.54932273218046,,66.35779766015106,5517.421135587037,33.6,7734.053121854383,4.9723371831707865,1.0501035380154116,-680868.0,40.7033206410008,56.10434226276672,26.87765706188002,5999.697020322645,44.149222757969554,71.1806510788013
Sub-Saharan Africa (IDA & IBRD countries),TSS,72.54932273218046,,66.35779766015106,5517.421135587038,33.3,7734.053121854383,4.9723371831707865,1.0501035380154116,-680868.0,40.70332064100079,56.10434226276672,26.877657061880026,5999.697020322644,44.149222757969554,71.18065107880132
Sub-Saharan Africa (excluding high income),SSA,73.12760651766489,,66.38138218568776,5768.027095630204,34.7,7711.250820640109,4.9723371831707865,1.0838878732042014,-712684.0,40.89277000459151,55.91974295142051,26.04873147450389,6330.234296060875,46.48827609311442,69.53478134573226
