Country Name,Commercial service exports (current US$),Commercial service imports (current US$),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Insurance and financial services (% of commercial service imports),Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),Merchandise trade (% of GDP),Transport services (% of commercial service exports),Transport services (% of commercial service imports),Travel services (% of commercial service exports),Travel services (% of commercial service imports)
Argentina,-0.132618234926288,-0.18006305519714097,0.8016460772150883,0.029954167000485442,-0.7452495050503152,-0.19831439466010942,-0.2746130351950274,0.033224591749257223,0.09008877971919202,-0.9815457703178689,0.2927899334147194,-0.35404665417379894,2.754850721326786,0.5371067387027096,-0.0916171307827635,-0.3760840486577125,0.9340866437278896,0.25743026854554824,-0.16268853835203703,-0.28153290805100295,-0.1261632758913391,-0.5807223289287674,-0.9768840692556101,0.41385956089803627,-0.60151099349334,3.69572846875028,-0.3530471322266646,-0.30010667139843367,-0.4643775052520835,0.4127594243125503,0.7538780116952217,-0.9266903329163767,-0.5080883318868908,-0.8621492736734605,-0.2573185580087693,1.2792731084558933
Armenia,-0.13263960947943082,-0.18009101720296353,-0.5599629461182574,-1.777103554281969,-0.40869791620039175,-0.1983719244721466,-0.30539964659479657,-0.11416586188820944,0.2764155929682226,0.6267969986102797,-0.43472624841868945,0.1356926289420459,-0.5111935424016383,1.1360699802542953,-0.5130022015611425,-0.5287198823672816,0.040316780191340586,-0.7649510166322749,-0.16274200419321358,-0.3030174480974028,-0.12732839898256057,-0.6249076153322349,0.06766980701322409,-0.24725025971784034,1.0083214275858199,-0.33387696647187903,1.545879728713222,-0.17832072074502558,-0.4285385537462813,0.43484744953260773,-0.44982408083431985,0.02263262747240557,-0.6376780109979054,-0.45630045425928173,0.9630545864833666,2.7731961992116645
Aruba,-0.13263961957798998,-0.18009352351090044,-1.3478238696732017,0.4594734092487839,-0.5722863298287753,-0.19837423483610078,-0.3066935639684895,13.27527626192284,-0.5759186180263868,0.3116492354992639,-0.737177269063923,0.0,0.9280042644331801,1.1151273430981927e-16,-0.4633080654395037,-0.5252866362564289,-0.9119848960993535,-0.45536946914134935,-0.16274728579935413,-0.30509966000491273,0.0030638873891544725,-0.7488495795947948,1.244685334132461,-1.155793331992718,-0.6545141155265991,0.6557506445167464,-0.6229870780876251,-0.4165434725411651,-0.48545758357321983,-1.121314051506194,-0.506844810177674,-0.5277864718292036,-1.10444533489273,-1.286976215173085,2.033887621226894,1.1774495680359882
Australia,-0.13252068236523892,-0.17996986044768826,-0.5767575437929904,-0.22213289261228203,-0.6711550062141971,-0.19812480577044742,-0.17131422476137612,-0.11294970330150092,-0.4131209095590095,-0.5801724331304544,1.7501140966367235,-0.4539302856810161,-0.4565415719639717,-0.3543605093861315,-0.13598202183347066,-0.48385074353570895,-0.7473700605095331,1.3106799527718827,-0.16247712698646752,-0.19430414553136777,-0.12758766140593603,-0.5488307208986936,-0.2909950000062072,1.6520632674250555,-0.626406845930015,-0.4052475308352685,-0.40710793086217506,-0.26050316202732254,-0.4301736520758033,-1.153393988759991,1.2713339372377537,-0.658362781809171,-0.9032794865727101,-1.059985036421567,1.02947784926357,1.7627984817701747
Austria,-0.13251054043558266,-0.17998623952100157,0.4314027592174931,0.9048850130842024,-0.4136589574633674,-0.19820983066311745,-0.21642460042016726,-0.11047943632590741,-0.4708812041097702,1.2602035856423515,-0.6306086858267967,-0.16872930416068296,-0.3020733050400723,-0.2975794635517673,-0.4500781583055077,-0.48257396338321606,-0.6259535721200513,-0.89136256876793,-0.1625222511265809,-0.21337145039802238,-0.1277217755925481,-0.644441302251413,1.4552557668979769,-1.0683645856770994,-0.1267000572743263,-0.620239227362449,-0.2780852660241077,-0.4442598271653396,-0.4787483303631617,-0.9849643587873762,-0.8499001606120125,0.6352149137854847,0.2736689110991268,-0.30772901579191536,-0.5088119752431761,-0.5243086615650029
Azerbaijan,-0.13263729644004407,-0.18008446374890455,-0.5955648917830533,0.8056499932683429,-0.719421324275184,-0.19835627495624333,-0.29679594301183626,-0.11408995707704678,-0.5308873842766557,0.31381506576107704,-0.5178237303474422,1.9269942865304248,-0.5121957319409586,-0.3003243798295114,-0.0179341895561183,-0.5281277053032426,-0.3943927441311352,-0.02111097668842181,-0.1627320073927331,-0.29892240825934946,-0.009147543418120399,-0.6988530026476096,-0.04845871346048768,-0.5541087214136942,2.793891741063937,-0.3607597498702526,0.5928025420163243,-0.33029585033962444,-0.48915579707430573,-0.17609904172073995,0.1795595746405123,0.27847917489722246,0.7249446715422001,-0.687501860392943,0.28157691621597486,0.16389144476294443
"Bahamas, The",-0.13263610319954114,-0.18009245138231633,-1.4340298762689385,0.5051926289921608,0.22491533506350406,-0.1983738609788806,-0.30646093702458665,-0.11416586188819952,-0.5766285230706713,1.5741937030953388,-0.8455557684537242,-0.47533736522806613,-0.4293154169650992,-0.38978361442274195,-0.5244579073918372,-0.3676097884800048,-0.9211355051499309,-0.9849690472597545,-0.16274469281026702,-0.3041863176426762,-0.10000781145497362,-0.7834022719995916,1.8292434571595926,-1.4582638660551017,-0.6007040603358432,-0.3092141640525669,-0.6556369219338853,-0.515681666852772,-0.49300342863758356,-1.4311637478294414,-0.9070296887546325,-0.8287711323435393,-1.350765405635386,-0.35644782504706285,2.3039620856944527,-0.300677213486639
Bahrain,-0.11171940266681861,-0.18008122955368708,-0.778438982451653,-1.966564960324601,6.93817966812358,-0.1983576700145895,-0.3025985938687144,-0.11397166004906499,3.9404231732173205,0.6350571556508061,-0.47059597776528633,-0.19360950304635435,-0.3082309030175259,0.7450767740418515,-0.21770011407302825,-0.42030724615414955,-0.19012500736376173,-0.5687828244579948,-0.16273251250455528,-0.29648569712017514,-0.12731045272675653,4.238019364996185,0.6735828092353214,-0.4217677074012721,-0.41104076105667364,0.07532244817151057,-0.2687727769674857,0.0243411008658302,-0.45826038444199385,0.25264129441063343,-0.9867459027458189,0.5117737403560447,-1.4137818539214646,-0.6960936357488328,-0.2279288504562777,-0.165132235179648
Bangladesh,-0.132638269705089,-0.1800797537633746,1.5161022301463831,-1.275912356459449,0.758480743312201,-0.19833813275192877,-0.29164761271014583,-0.11416586188820775,-0.4117076144967074,1.2395247559735525,-0.654895717672189,-0.3028030299985089,-0.3326083185000206,-0.3523080145233684,-0.1716344849249731,-0.4944642213719367,-0.6626314133132228,-0.834871131943179,-0.1626763151363404,-0.2801027431231503,-0.11673925147213329,0.40768479509571887,-1.0804506268085008,1.3575241076609161,-0.3607319361205978,-0.07858251734654684,-0.36127551971765554,1.3809226494091071,-0.2625706532168677,1.6791389036375666,-0.1769863488181722,-0.8573208720104637,-0.02975533773567537,1.9992613061855156,-1.3090777389647557,-1.1344394872186472
Barbados,0.0,5.15990684636956e-17,0.0,-4.813682168218321e-16,0.0,-0.19837394661612562,-0.30656755148483095,-0.10097347972647228,-0.5490415689451698,0.4483731929046671,-0.8428570942175719,-0.45831724557903747,3.0927846109294888,-0.37591949994134,-0.5190060535123452,-0.5148462642584367,-1.0269949837561474,0.38928545919682694,-0.16274682604951599,-0.3050655240303312,-0.12400843523863044,-0.7704716218883969,1.0147312861370965,-0.8097954284609031,-0.567412735955393,0.5616100546083963,-0.6382592619012022,-0.3693525340357899,-0.4743215610283304,-0.74842681632162,-0.5458862759462468,-0.7236142371794116,0.0,-4.969718693565033e-16,3.1603218074318165e-16,0.0
Belarus,-0.1326269745323222,-0.18008552005267855,0.7455806849784355,0.45250386755080824,-0.47187654519875855,-0.19834400949276398,-0.290556361797419,-0.11346204846456238,-0.488897828954919,0.47528509522033363,-0.6457681026865382,1.7640828893579061,-0.22218576576495538,-0.2799559514188536,-0.3200212631992536,-0.4842423863622477,-0.5245087276665871,-0.08876011867786168,-0.16270036556987308,-0.28620396741499776,-0.1275265025424733,-0.7343742117053698,0.9931998176047351,-0.7140583940787332,0.5471734956973939,-0.42733965747209435,-0.572371452069029,-0.4577309060897009,-0.47162500852759465,-0.6382514763409421,-0.6123710098999354,1.475570257156995,1.6262184987957342,0.0681196657409978,-1.4361205960440055,-0.39397535209263806
Belgium,-0.13242950689026406,-0.1798825843683653,1.4596806074564175,1.4309170974922871,-0.08849497810376152,-0.19796282706524218,-0.08229402053877875,-0.11172399420247904,-0.3828034047964332,1.2197007977518788,-0.699275485483607,-0.2736409540451374,-0.3177686352198441,-0.22950185435545845,-0.3456707938489816,-0.38226922691035026,-0.5253787832626187,-0.9349272500766548,-0.1622229601119507,-0.09137049104050514,-0.07299347408529178,-0.5257407085753226,1.3061969957589759,-1.038182813748689,-0.41669700086943473,-0.32534949499146953,-0.47895435166076705,-0.3219107223040407,-0.3405658628482245,-0.6613721968338383,-0.952119230372916,2.8769632577035558,0.09868057799704283,-0.8602484453265377,-1.4916483478184095,-0.6654784764516469
Belize,-0.13264272806932859,-0.18009480407188205,-1.0878003198578439,0.12083687575984482,1.0695155927566418,-0.19837396411190686,-0.30660902784868616,-0.10741171753104481,-0.5139127632399026,1.050482890749027,-0.8236479748839309,-0.4746602766715962,1.3295113014480637,-0.3890786641046769,-0.5030189469569633,-0.5279537013252146,-1.0230902177825727,-0.29870928044092576,-0.16274755551925915,-0.30526328219215926,-0.12449057018222628,-0.7523086550891375,-0.09359340856316903,-0.3527675152493731,-0.6479380609112105,2.83034520915412,-0.6515455505368292,-0.3149015738378202,-0.48571337813984966,-0.3652462176464572,0.39499104339481644,0.005644437818104272,-1.1514495592683371,-0.2699980485166049,1.8420125170074064,-0.3440444858997933
Benin,-0.13264294496292647,-0.1800938401276248,-1.2647030568332638,-0.5412360532913432,-0.9558007343578285,-0.19837154508994287,-0.30630098382272875,-0.1002794136038839,-0.12420888210853315,-2.1040187379709114,0.3161871420885019,-0.003597152909010002,-0.500572114721096,0.1424664474113662,3.436508275225913,0.5722670814750922,2.8647772602259463,-0.17909143301564642,-0.16274394372453074,-0.30428565481767084,-0.12782417215814412,0.4294617130341083,-1.3303419771049136,-0.0015982221169184494,-0.11017634340300268,-0.1893736387799723,0.7285648597582665,1.3665412185651205,1.1757354262525772,1.6019446357413434,0.1712349476335031,-0.29078587769608893,0.9861164455589558,1.8190092411171295,0.23626586865132232,-0.9879336366757557
Bermuda,-0.13264117274834525,-0.18009339612736436,0.28848168646306566,0.17263906253647734,1.1664104159915831,-0.1983743306024823,-0.3067045460641467,-0.11416586188820775,-0.5616969594089576,-0.4676931231418488,-0.8406193149878949,-0.4680000513226594,0.15643648690465314,-0.3897312658274889,3.3064244546128556,-0.22688462734128834,1.7204874886780495,-1.7675786966959614e-16,-0.16274739368731614,-0.30527875299386154,2.4033144289968664,-0.7747016769031004,1.7981849212748162,-1.5155073303337316,-0.690546486258814,-0.549368746855571,-0.6313664165310072,-0.5160601412041831,-0.44270402112749224,-1.4165287542598068,0.0,-1.2054860165305377,-1.2087536561566075,-0.6954891417161577,-0.09673441582328608,0.031468264462263945
Bhutan,-0.13264354714977522,-0.18009482088820924,-1.5973136786904687,-0.12845940797841837,-8.367021912824146e-05,-0.19837373482508958,-0.3064708234611143,-0.11416586188820775,-0.5765181460805099,-2.561355669590249,-0.8414162329422128,-0.4721396583142191,-0.5139976575599569,-0.38965353629720745,8.870021019169998,-0.5274580390891203,-1.0529460540505213,3.837105908724739,-0.162747561649257,-0.3044333602030079,-0.12782417215814412,-0.753538413967376,-2.910172233604746,-1.4241701386618197,-0.6952115256887341,-0.6565435615960107,-0.6566882726838028,11.608357795034863,-0.4942949939215137,-1.4529489356083412,4.491801358951446,0.03992427320709259,0.22627245866669896,-0.4236022983624217,1.3426420097909675,0.6202664052641129
Bolivia,-0.13264135393354917,-0.1800904819497465,-1.2403971340497155,-0.1361646167762114,-0.2072489608622384,-0.19836629175141812,-0.3022768893513018,-0.05536507186564636,0.14433204813036,-0.847183142544758,-0.5859623025988948,-0.374987150892419,5.158998671366651,-0.38920381382622304,0.2840839879714009,-0.5279723445065426,-0.28208947771492254,1.1954817515710379,-0.16273676917505667,-0.3008446919578682,-0.08524975961749653,-0.7076846717702655,-1.405472026534441,0.39548629973747756,-0.5917818262916337,5.032865112453965,-0.6445846735409243,-0.2988095001040906,-0.48232581885345693,0.32713535099336166,1.3084079392629635,-0.5873490938302222,0.8938964656217897,-0.3993115430060676,0.7733220429223433,0.6985301447326036
Bosnia and Herzegovina,-0.13263969132716813,-0.18009390062338207,-0.18816044255534833,-1.3057426061114101,0.1685004236995276,-0.1983682982412771,-0.30340853729464345,-0.11416586188820775,-0.4019433038303904,0.7665742429055666,-0.8301644131204678,1.8374190097960976,-0.5000906769401652,-0.2147151966126936,-0.49617124620635233,-0.514300650655565,-0.9300316891661051,-0.05830721169539825,-0.16273508342565016,-0.3001785929769654,-0.12483999504225088,-0.7342254440238002,0.5173900308772477,-0.8381488434178479,2.2409088131128727,-0.43009750110193024,-0.5396162921123664,-0.39627810270535363,-0.47111642765876044,-0.7073587278478802,-0.01535765375531128,0.7610598927688348,0.03479021053525378,0.3583237710365114,0.3522894659107523,1.0318721104334587
Botswana,-0.13264215078042088,-0.18009300119720384,-0.9666061374524301,0.9020863205496009,0.12781690247382158,-0.19836953307510036,-0.3042019932508748,-0.11416586188820775,0.8108327716170913,0.11860127897991762,-0.8039913964757902,0.0,-0.5159526969052843,-0.3904665999440972,1.5823014086909606,0.3724908251704388,0.20233210324439593,-0.3313759571201597,-0.16274071689366681,-0.3025871827233928,-0.12782417215814412,-0.6896354452043291,-1.8647816138440303,-1.393325580078824,-0.6930815630958979,-0.6520697102483144,-0.6348944600544479,-0.018704962352695288,5.1003739288133145,-1.1349466550840799,3.0422384099106217,0.31785075364730897,-0.9931900612900015,-0.8525176271205367,1.4014219774244565,-0.15771369993385992
Brazil,-0.1325871426177737,-0.17998041404108708,1.4425451446649524,1.063399526548779,-0.7086858293954701,-0.19817073495869234,-0.19430919029304555,0.022507353300523045,-0.1625728964366269,-0.5844918414257709,0.9294495451899343,-0.3225665108707669,1.003948664859915,0.04261765964662146,-0.32360229289670994,-0.4228040745564424,1.1943810226714455,-0.425737450260565,-0.16251194782620831,-0.2154851603296179,-0.08624274869359373,-0.28507314629908764,-0.21206623917931594,0.4511880961501095,-0.5586358063877273,1.0537853593404518,0.09233258458957758,-0.18923330841900737,-0.38479805120440463,0.6846566872261264,-0.34177405049131454,-1.0205910914497343,-0.501388585533679,-0.891457073937745,-1.028566271354561,0.088584574468243
British Virgin Islands,0.0,5.15990684636956e-17,0.0,-4.813682168218321e-16,0.0,0.0,6.178213671622597e-17,2.0579099239639636e-17,-1.3235410755619998e-16,0.0,9.861525919602874e-17,0.0,0.0,1.1151273430981927e-16,-8.551967139813497e-17,1.159409522491695e-16,0.0,-1.7675786966959614e-16,0.0,0.0,0.0,1.0791251667921952e-16,0.0,2.872957130008553e-16,0.0,-2.509404064243826e-16,-7.831766527177669e-17,0.0,0.0,-2.5156206522538635e-16,0.0,-1.9633109628286819e-16,0.0,-4.969718693565033e-16,3.1603218074318165e-16,0.0
Brunei Darussalam,-0.13264278941522303,-0.18009223157195361,-0.8099670255116843,1.0413630638832978,-1.1220484786560263,-0.1983678737383744,-0.3030629615538357,-0.11414800901460789,-0.5523003648713588,0.1715225795356232,0.6433607448195262,-0.4752642667670466,-0.5144548999961318,-0.3899407203374854,0.2836921437237836,-0.5290483619873989,-0.5939744296340675,0.3188082773751669,-0.16274250807903617,-0.30327621852114567,-0.127822334306807,0.15401276563726388,-0.661655362550628,1.2481929420495481,0.014062284861603701,-0.5992924432729224,-0.006949133093244059,-0.22315236129986135,0.23211515719930856,-0.2912928285401431,0.9787418409405748,0.8591713935419338,1.971734008460747,-1.3388047651669888,-0.24424374169053067,0.8133157368853813
Bulgaria,-0.13262384854390177,-0.18008542522597448,0.11453099065312511,-0.3666293327055554,1.0132805559306945,-0.19834365497298626,-0.29037428140094595,-0.11360822255491011,-0.2344984764826351,0.6736646411720776,-0.6348843621553255,1.219271357662886,-0.4449126806033006,0.11278729871702654,-0.4738697905840983,-0.4821634963637958,-0.5238671674382978,-0.3149937235992602,-0.1627025895330901,-0.2870728676504085,-0.12781991465451215,-0.40616430806050874,0.8718098558834292,-1.0710301869594723,1.358012330534409,-0.5639437978621676,0.3828712998592225,-0.45628606782144204,-0.46079249432307856,-0.8171504715077057,-0.3265638893298114,1.2320853502544507,0.030828172773465626,-0.4067505046453751,-0.18799346187097637,0.4061072569913935
Burkina Faso,-0.13264297810813672,-0.18009276250971953,0.38410671890584785,-0.5404100848149069,1.5700694319223767,-0.19837137289462226,-0.30509338988448137,-0.11416586188820775,-0.5507046797077055,0.3528192567523474,-0.7697200268444421,-0.4739542815366279,-0.447964908562956,-0.3840335788902976,1.187495551128595,0.21127037671323098,0.04142518450891337,-0.45427033768048974,-0.16274351217268268,-0.3036623743793489,-0.08931173434030762,-0.3041287772992547,-0.5373692491329516,-0.3817981937548173,-0.39334320176146625,-0.3086258086525332,0.24582845911332354,0.20389620743594475,1.357664062837403,0.3502373039209748,0.304321789945627,-0.335147623537645,-0.3047999816765697,1.0435977386743298,-0.7986588119048769,-1.2913814955349554
