Country Name,Commercial service exports (current US$),Commercial service imports (current US$),"Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Insurance and financial services (% of commercial service imports),Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),Merchandise trade (% of GDP),Transport services (% of commercial service exports),Transport services (% of commercial service imports),Travel services (% of commercial service exports),Travel services (% of commercial service imports)
Central Europe and the Baltics,-0.10238355286702107,-0.0786993976022192,0.5066471951088105,0.8758541259859846,-0.20473637339305756,-0.20506117284180508,0.09208138344766413,-0.24928582834572527,-0.3997093650684036,1.1203076709404531,-0.6853969038979224,0.376718936004034,-0.4573454421280826,-0.3783815056607325,-0.425603243513326,-0.5003401123117239,-0.8059138119431618,-0.7118454432954184,-0.1447695119482667,-0.19667433323836878,-0.2881670794451048,-0.7113698547565372,1.267779133822055,-0.754920659119968,0.057656390287383494,-0.5706449414095688,-0.5292948938920107,-0.41228404803921476,-0.43804207438274895,-0.7957599607759943,-0.8048301582134038,0.7612594958530928,0.31753956863652805,-1.052087506884413,-0.4827693007126851,0.3293442305819688
Chad,0.0,-1.1561293259414745e-17,2.046138096762526e-16,5.001938922180009e-16,0.0,-0.20561964035288244,-0.30149404634933,-0.2581899644654184,-0.5600074078648563,1.446189141521927,-0.5436601447936648,-0.5108278401776939,-0.5100475581625618,-0.587993173934326,-0.4293669748112036,-0.5270778334460187,-0.8448780941147722,-1.049024310590193,-0.14581975283874252,-0.19776540147573785,-0.29728712142781166,-0.2917123911585997,-0.5317285675400921,0.2733796492651454,0.2681542784724202,-0.6052199098721782,0.30602609744699394,-0.39348194857900354,0.8563149208981213,0.8248621735279896,0.017143899015789152,-0.5738827758486775,2.640558748028025e-16,-4.972190527983159e-16,3.2312067772659087e-16,0.0
Channel Islands,0.0,-1.1561293259414745e-17,2.046138096762526e-16,5.001938922180009e-16,0.0,0.0,0.0,3.623928752544021e-17,0.0,0.0,-1.4663377404305856e-16,0.0,0.0,0.0,0.0,0.0,1.4745293383821513e-16,1.969214532966782e-16,2.984783965063758e-17,-3.0983777153110993e-17,0.0,-1.1933979037477711e-16,-7.664343758013458e-16,0.0,1.3472304932166062e-16,-1.095446353038879e-16,0.0,0.0,0.0,0.0,4.169178551969204e-16,0.0,2.640558748028025e-16,-4.972190527983159e-16,3.2312067772659087e-16,0.0
Chile,-0.10286387292505088,-0.0792095815695542,-0.9310157458565133,-0.346908195622355,1.335053774038702,-0.20556226282247575,-0.26101687511823607,0.6367815400791229,-0.5301986498498291,-0.6769690005140203,1.2722561524855436,-0.4511689757482014,1.5353212915116292,-0.5766467416084807,-0.248140803067671,-0.5187111107260913,1.1970314158793467,-0.11728455694488134,-0.14574180269827633,-0.19768603359798978,-0.11466156432124047,-0.7390160502987134,-0.749601931947756,0.20853110322469004,-0.5357401722820736,3.093373166191704,-0.5987010038607824,-0.35616564546151797,-0.4047537411237759,0.10575037571479722,0.7377240511816454,-0.01799243058418331,2.8818108388804045,0.614668454955318,-0.9711906636665245,-1.1100896023593894
China,-0.10231551414479255,0.8564654539170345,1.3654801472582363,0.18221737982768307,-0.035819708445225557,-0.2043135075465114,0.617532735801371,-0.10532438953519008,-0.15395972176272274,0.5576230346549554,-0.24095757661157713,-0.1505410055571796,-0.11065790705055346,-0.13249667325501868,-0.12958822147261764,-0.3511627072209929,0.08369610484493123,-0.6896786297039376,-0.14390199714430493,1.6214860079891484,-0.05589903281865951,0.009828833905470387,0.5731637537029192,-0.42487246119914457,-0.3739286561714587,-0.03839886162582547,0.13155087210932315,-0.24608960304422606,-0.156449951670827,-0.2416731295070814,-0.46438086392066025,-0.4650946108921601,-0.4077649880349109,-0.5041331160841146,-0.6638600200826488,0.43655874239425446
Colombia,-0.10287396461820195,-0.07921922124441869,-0.0025106487040024703,0.24949475797189186,0.7183803482707366,-0.20558689692920143,-0.27829338989655433,7.894067990773757,-0.5245464765684362,-0.013470669998934412,-0.5316324590416394,-0.3622750944557669,1.2051099610779548,-0.5233367474365509,-0.32266800176310767,-0.5222754929898014,-0.6082879521961111,-0.2689869552961192,-0.14576072957157288,-0.1977040917088826,0.6095742063012545,-0.7300200454666332,-0.23777273393149734,-0.11851101641483665,-0.4972372272355283,2.1219747732508067,-0.570747394660927,-0.23587090635407526,-0.4464489061972941,-0.14737823145633436,0.2755912714668268,-0.8995448278899321,0.010293012394517851,-0.7424301071881376,0.17066276225679042,0.2760922520013962
Comoros,-0.1028952481923768,-0.0792700043434421,-0.08433644898174116,-1.9312083423147017,0.7178180738254062,-0.20562267467341455,-0.3031530989099843,-0.2581899644654184,-0.27922641407049226,0.9021342516499687,-0.3863071403530292,-0.5046983348360442,0.0,-0.5016609116937469,-0.34267478355183034,-0.006652329165197201,-0.5724845289144287,-0.6232984801021878,-0.14582317220725288,-0.1977669200244934,-0.2972871214278101,3.579612266339316,-0.3406330047536811,-0.28833633051918706,-0.512126169087893,-0.5609224437719446,-0.29454508163620924,2.243141090291515,0.2438522740874801,1.2363204836813997,-0.47938520626207465,-1.0041277734332548,-1.062674041789793,1.8081724504615433,0.9298440417449293,-0.25489006757730626
"Congo, Dem. Rep.",-0.10289333114103313,-0.07926048306461239,2.1665649955389505,-0.21680506983951403,1.4976994536243662,-0.20561887768703954,-0.29941240228121535,-0.2581899644654184,-0.14308463085290837,-2.724056600609943,0.06758925370846623,-0.506932299568317,-0.513042624775198,-0.5371620457174433,-0.45248682427072723,4.661597013088731,-0.22648608415093274,3.1954888618105195,-0.145816123341441,-0.19775756686892726,-0.2972871214278101,-0.06878703627403909,-1.180551659427607,0.2489441988439231,-0.4209627885766519,-0.48119093015272163,-0.3874186700242008,0.3982638715278642,1.7844998095158602,0.7584215837859756,0.7696319318415523,-0.5494739519065258,-0.8901916337679799,0.742211046091353,-1.71988322157539,-1.5524339159984337
"Congo, Rep.",-0.10289380978423013,-0.07925128515709293,1.0320950014371018,1.9308059825928203,-0.3814525925807892,-0.2056137547516205,-0.29718177630875997,-0.2580534726328043,-0.5334375438783727,-0.7366336032308045,1.1104729961601063,-0.5091924768239474,-0.11968807010932055,-0.5722033167523003,-0.36168768624017367,0.8225237594144644,1.1525990291966777,0.05499586947852131,-0.14581507842827052,-0.19775890613532005,-0.29725017778724544,-0.46657888673795594,-0.7591871518810388,-0.8395929141320229,-0.5206322032705113,-0.498335777980804,-0.276692275826247,-0.4057405857295718,2.5184797510867645,-0.7433656628495454,1.3646762265065568,2.2034011331754337,0.13323534320255367,-0.9934014348086183,-1.060417033597408,-1.1139304937343986
Costa Rica,-0.10287867106156644,-0.07926187964439774,0.5883690700588426,-0.6645745457497237,1.0498018960195943,-0.20561312064944828,-0.296458299094872,0.07454164999531913,-0.5583595312737103,-0.029637353811947285,0.14208993686370314,-0.5098266539983234,2.0158513617714147,-0.5708900033174116,-0.4360634898386449,-0.5303636485442804,-0.14477197556316043,0.10347577869399624,-0.14580180592971737,-0.19774590843991993,0.1950050130471574,-0.6325807876367526,0.3009673674378707,-0.5642938751055574,-0.5475236239454555,1.706192159964508,-0.365091385849991,-0.417580212613933,-0.4472284736467351,-0.6333310916748452,0.07778697589519576,0.23879081498969862,-0.9145167525665454,0.11411763267140318,0.3070753018498495,0.17332581408989114
Cote d'Ivoire,-0.10289132964855023,-0.07925500032583185,1.1705368276833672,-0.7171197830746826,0.11512441494091773,-0.20561034999339328,-0.2955099236070258,-0.25818996446549325,-0.41815423268211055,-0.22776333567446033,-0.5588405476703637,-0.37912136169458927,-0.37218384743041877,-0.3283497129352003,-0.3308830281525117,1.4659080216717517,-0.4866809630296362,0.5813061619591084,-0.1458102779405238,-0.19775439721216703,0.6973184513512263,-0.08634332664410989,-1.1242964091782426,0.2514067008562116,-0.3869509964654223,-0.2991928129631989,0.09127864871908586,-0.24974784158830834,1.6443322814718546,0.6709555244523389,0.6559968266622846,-0.11680758148580961,0.1340934126317764,1.3476424229000497,-1.2489111554540815,-0.9722141959475739
