Indicator Name,total_values,null_values,coverage_percent
GNI growth (annual %),5320,1917,63.96616541353384
"Net bilateral aid flows from DAC donors, United States (current US$)",5320,1918,63.94736842105263
Gross national expenditure (% of GDP),5320,1926,63.796992481203006
Gross national expenditure (current LCU),5320,1926,63.796992481203006
Discrepancy in expenditure estimate of GDP (current LCU),5320,1926,63.796992481203006
"Portfolio investment, net (BoP, current US$)",5320,1937,63.590225563909776
"Net bilateral aid flows from DAC donors, Germany (current US$)",5320,1950,63.34586466165413
"Net bilateral aid flows from DAC donors, France (current US$)",5320,1962,63.1203007518797
"Net bilateral aid flows from DAC donors, Canada (current US$)",5320,1970,62.96992481203007
"IFC, private nonguaranteed (NFL, US$)",5320,1971,62.95112781954887
Gross fixed capital formation (current LCU),5320,1991,62.57518796992481
"Adjusted net savings, excluding particulate emission damage (% of GNI)",5320,2038,61.69172932330827
"Net capital account (BoP, current US$)",5320,2052,61.42857142857143
Imports of goods and services (constant LCU),5320,2052,61.42857142857143
Exports of goods and services (constant LCU),5320,2052,61.42857142857143
Exports as a capacity to import (constant LCU),5320,2054,61.390977443609025
Terms of trade adjustment (constant LCU),5320,2054,61.390977443609025
Gross domestic income (constant LCU),5320,2054,61.390977443609025
Final consumption expenditure (constant LCU),5320,2059,61.296992481203006
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",5320,2076,60.97744360902256
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",5320,2087,60.77067669172932
Households and NPISHs Final consumption expenditure (constant LCU),5320,2089,60.733082706766915
Changes in inventories (current LCU),5320,2111,60.31954887218045
Changes in inventories (current US$),5320,2115,60.244360902255636
"Net ODA received (% of imports of goods, services and primary income)",5320,2116,60.225563909774436
"Net official flows from UN agencies, UNDP (current US$)",5320,2120,60.150375939849624
Adjusted savings: education expenditure (current US$),5320,2128,60.0
"Adjusted net savings, including particulate emission damage (% of GNI)",5320,2130,59.962406015037594
General government final consumption expenditure (constant LCU),5320,2154,59.51127819548872
Adjusted savings: net forest depletion (current US$),5320,2191,58.81578947368421
"Net official flows from UN agencies, UNICEF (current US$)",5320,2195,58.7406015037594
Gross savings (current LCU),5320,2200,58.64661654135338
Gross savings (current US$),5320,2200,58.64661654135338
Gross capital formation (constant LCU),5320,2228,58.1203007518797
Gross fixed capital formation (constant LCU),5320,2228,58.1203007518797
Gross national expenditure (constant LCU),5320,2231,58.06390977443609
Gross national expenditure deflator (base year varies by country),5320,2238,57.932330827067666
"Personal transfers, receipts (BoP, current US$)",5320,2254,57.63157894736842
"Net official flows from UN agencies, UNFPA (current US$)",5320,2299,56.785714285714285
"Charges for the use of intellectual property, payments (BoP, current US$)",5320,2306,56.65413533834587
Adjusted net national income (constant 2015 US$),5320,2309,56.597744360902254
Adjusted net national income per capita (constant 2015 US$),5320,2309,56.597744360902254
Total debt service (% of GNI),5320,2310,56.578947368421055
Public and publicly guaranteed debt service (% of GNI),5320,2311,56.56015037593985
GNI per capita (constant LCU),5320,2315,56.484962406015036
GNI (constant LCU),5320,2315,56.484962406015036
"Net bilateral aid flows from DAC donors, Italy (current US$)",5320,2319,56.409774436090224
Adjusted savings: particulate emission damage (current US$),5320,2333,56.14661654135338
"Net bilateral aid flows from DAC donors, Sweden (current US$)",5320,2343,55.95864661654135
Adjusted net national income (annual % growth),5320,2343,55.95864661654135
Adjusted net national income per capita (annual % growth),5320,2343,55.95864661654135
"Net bilateral aid flows from DAC donors, Austria (current US$)",5320,2360,55.6390977443609
"Net bilateral aid flows from DAC donors, Spain (current US$)",5320,2380,55.26315789473684
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",5320,2385,55.169172932330824
"Net bilateral aid flows from DAC donors, Australia (current US$)",5320,2403,54.830827067669176
"Net bilateral aid flows from DAC donors, Norway (current US$)",5320,2433,54.266917293233085
Total reserves (% of total external debt),5320,2452,53.909774436090224
Net ODA received (% of gross capital formation),5320,2467,53.62781954887218
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",5320,2510,52.81954887218045
"Short-term debt (% of exports of goods, services and primary income)",5320,2515,52.725563909774436
"Net financial flows, IDA (NFL, current US$)",5320,2520,52.63157894736842
"Net official flows from UN agencies, IFAD (current US$)",5320,2538,52.29323308270677
"Net bilateral aid flows from DAC donors, Finland (current US$)",5320,2550,52.067669172932334
Medium and high-tech manufacturing value added (% manufacturing value added),5320,2567,51.74812030075188
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",5320,2601,51.109022556390975
Adjusted savings: net national savings (current US$),5320,2624,50.67669172932331
"Grants, excluding technical cooperation (BoP, current US$)",5320,2632,50.526315789473685
"Technical cooperation grants (BoP, current US$)",5320,2633,50.50751879699248
Short-term debt (% of total reserves),5320,2636,50.45112781954887
"Net bilateral aid flows from DAC donors, Belgium (current US$)",5320,2638,50.41353383458647
"IMF repurchases and charges (TDS, current US$)",5320,2687,49.49248120300752
"Use of IMF credit (DOD, current US$)",5320,2689,49.454887218045116
Short-term debt (% of total external debt),5320,2691,49.41729323308271
"Debt service on external debt, total (TDS, current US$)",5320,2694,49.3609022556391
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",5320,2696,49.32330827067669
"PPG, official creditors (NFL, US$)",5320,2697,49.30451127819549
"Net financial flows, multilateral (NFL, current US$)",5320,2697,49.30451127819549
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",5320,2698,49.285714285714285
"External debt stocks, short-term (DOD, current US$)",5320,2698,49.285714285714285
"External debt stocks, total (DOD, current US$)",5320,2698,49.285714285714285
"Multilateral debt service (TDS, current US$)",5320,2699,49.266917293233085
"External debt stocks, long-term (DOD, current US$)",5320,2700,49.24812030075188
"Net official flows from UN agencies, IAEA (current US$)",5320,2708,49.097744360902254
Multilateral debt service (% of public and publicly guaranteed debt service),5320,2717,48.92857142857143
External debt stocks (% of GNI),5320,2730,48.68421052631579
"Net financial flows, bilateral (NFL, current US$)",5320,2741,48.47744360902256
"IBRD loans and IDA credits (DOD, current US$)",5320,2743,48.43984962406015
"Net financial flows, others (NFL, current US$)",5320,2806,47.255639097744364
"Total debt service (% of exports of goods, services and primary income)",5320,2814,47.10526315789474
"Adjusted net savings, excluding particulate emission damage (current US$)",5320,2822,46.954887218045116
"Net bilateral aid flows from DAC donors, Ireland (current US$)",5320,2842,46.578947368421055
"Net bilateral aid flows from DAC donors, Czechia (current US$)",5320,2852,46.390977443609025
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",5320,2862,46.203007518796994
"Net bilateral aid flows from DAC donors, Poland (current US$)",5320,2863,46.18421052631579
"Charges for the use of intellectual property, receipts (BoP, current US$)",5320,2868,46.090225563909776
"Net official flows from UN agencies, UNAIDS (current US$)",5320,2874,45.97744360902256
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",5320,2902,45.45112781954887
"Adjusted net savings, including particulate emission damage (current US$)",5320,2908,45.338345864661655
"Net bilateral aid flows from DAC donors, Denmark (current US$)",5320,2980,43.984962406015036
"Net financial flows, IBRD (NFL, current US$)",5320,3083,42.04887218045113
"Net official flows from UN agencies, WFP (current US$)",5320,3088,41.954887218045116
"PPG, IDA (DOD, current US$)",5320,3110,41.54135338345865
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",5320,3114,41.46616541353384
"Net official flows from UN agencies, WHO (current US$)",5320,3136,41.05263157894737
"Net bilateral aid flows from DAC donors, Greece (current US$)",5320,3149,40.80827067669173
"PPG, private creditors (NFL, US$)",5320,3206,39.73684210526316
External balance on goods and services (constant LCU),5320,3216,39.54887218045113
"Net official flows from UN agencies, ILO (current US$)",5320,3230,39.285714285714285
"Net bilateral aid flows from DAC donors, Hungary (current US$)",5320,3247,38.96616541353384
Other manufacturing (% of value added in manufacturing),5320,3257,38.778195488721806
"Food, beverages and tobacco (% of value added in manufacturing)",5320,3278,38.38345864661654
"Net financial flows, RDB concessional (NFL, current US$)",5320,3327,37.462406015037594
Textiles and clothing (% of value added in manufacturing),5320,3327,37.462406015037594
"Net official flows from UN agencies, UNHCR (current US$)",5320,3327,37.462406015037594
Changes in inventories (constant LCU),5320,3333,37.349624060150376
Discrepancy in expenditure estimate of GDP (constant LCU),5320,3336,37.29323308270677
"Net bilateral aid flows from DAC donors, Portugal (current US$)",5320,3354,36.954887218045116
"PPG, commercial banks (NFL, current US$)",5320,3379,36.484962406015036
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",5320,3379,36.484962406015036
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",5320,3398,36.12781954887218
Machinery and transport equipment (% of value added in manufacturing),5320,3432,35.48872180451128
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",5320,3460,34.962406015037594
Chemicals (% of value added in manufacturing),5320,3468,34.81203007518797
"PNG, commercial banks and other creditors (NFL, current US$)",5320,3475,34.68045112781955
"Net financial flows, RDB nonconcessional (NFL, current US$)",5320,3523,33.778195488721806
"Net financial flows, IMF nonconcessional (NFL, current US$)",5320,3705,30.357142857142858
"Gross fixed capital formation, private sector (% of GDP)",5320,3764,29.24812030075188
Net ODA received (% of central government expense),5320,3795,28.665413533834588
"PPG, IBRD (DOD, current US$)",5320,3838,27.857142857142858
