Country Name,Country Code,Access to electricity (% of population),"Compulsory education, duration (years)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Industry (including construction), value added per worker (constant 2015 US$)","Inflation, GDP deflator (annual %)",Land area (sq. km),Merchandise exports by the reporting economy (current US$),Military expenditure (% of GDP),Net migration,Population ages 15-64 (% of total population),Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Urban population (% of total population),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",happiness_score,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Ethiopia,ETH,48.0,8.0,69.478,2242.444883104644,16.0,5857.793358006823,12.860432641309444,1128570.9,2683848860.0,0.579949536835092,-10807.0,56.1010549033282,38.7568555758684,89.3,21.2486705780029,85.2199628039605,4.1,748.0,59.9,754.0,52.0,732.0,519.0,283.0
Finland,FIN,100.0,10.0,55.221,52276.11157239922,89.6074,106947.07984346725,1.4818590362763615,303930.0,72111505085.0,1.36132283517387,15671.0,62.0624967514881,47.0,45.4,72.7431214358314,9.980951979964884,7.78,937.0,71.0,948.0,-56.0,195.0,732.0,181.0
France,FRA,100.0,10.0,50.316,51130.47231405776,83.3397,77171.34290577582,1.2105230833679317,538950.0,566246185746.0,1.85288520696513,71972.0,61.9811666181521,39.6880415944541,15.5,78.6890784549356,7.854181903368834,6.69,958.0,72.1,827.0,-137.0,568.0,693.0,0.25
Gabon,GAB,90.3,10.0,40.945,15949.637373962243,59.5176,71686.19056607748,1.5474851979842157,257670.0,7713471749.0,1.58168890147569,2233.0,59.2317653240247,17.910447761194,90.2,89.9031850170394,30.43471595264459,4914.0,763.0,57.6,736.0,-204.0,846.0,638.0,413.0
United Kingdom,GBR,100.0,11.0,60.335,50064.96055821872,92.5166,93449.6967352306,2.461330488245011,241930.0,458376042353.0,1.98525373099586,232727.0,63.5198822523142,32.0,11.4,82.6699420738913,12.868940447260716,7157.0,943.0,70.1,854.0,265.0,485.0,739.0,251.0
Georgia,GEO,100.0,9.0,55.65,16770.1333771469,68.8467,16463.966580634893,3.995680345572339,69490.0,3796963569.0,1.7596327905627498,-5412.0,64.4923615039024,14.7651006711409,24.7,58.6304091780343,47.9072755468837,4892.0,675.0,64.7,811.0,-263.0,647.0,503.0,244.0
Ghana,GHA,83.5,11.0,61.758,6002.550446783856,22.0732,11250.933330323043,8.481070296987212,227533.0,16703226177.0,0.3438181786170889,-21857.0,59.0123019186988,13.0909090909091,42.6,55.7246279109161,63.604056475719,4967.0,746.0,58.0,787.0,114.0,857.0,645.0,0.27
Guinea,GIN,42.2,6.0,50.225,3105.827890154429,22.6255,7099.35797942156,9.402907663281312,245720.0,3659104932.0,1.47320213579399,-3240.0,54.1370890415215,22.8070175438596,68.3,36.1281547546387,79.8453224769091,4768.0,655.0,53.3,691.0,96.0,756.0,0.67,473.0
"Gambia, The",GMB,62.1,9.0,45.613,2421.723180706148,31.1183,2824.895075411177,6.252206399430065,10120.0,27099876.0,0.7973245788187869,-4186.0,54.8603411531217,10.3448275862069,47.4,61.643210849607,66.81003017608134,5164.0,694.0,57.0,677.0,413.0,798.0,718.0,401.0
Greece,GRC,100.0,10.0,42.187,31927.37921513688,75.6712,50977.425625768,0.2450157813952671,128900.0,37851773943.0,2.59648367110305,36762.0,63.5769463955355,20.6666666666667,18.5,78.1888100466875,24.55382946485344,5952.0,891.0,70.9,614.0,-291.0,848.0,0.56,236.0
